element,item,country_name,production,years,element-2,item,production
Feed,Cereals - Excluding Beer,"China, mainland",126518,2008,Food,Vegetables,425537
Feed,Starchy Roots,"China, mainland",64000,2009,Food,Cereals - Excluding Beer,201290
Feed,Maize and products,"China, mainland",105600,2009,Food,"Vegetables, Other",377460
Feed,Cereals - Excluding Beer,"China, mainland",131336,2009,Food,Vegetables,434724
Feed,Starchy Roots,"China, mainland",65475,2010,Food,Cereals - Excluding Beer,204167
Feed,Maize and products,"China, mainland",114500,2010,Food,"Vegetables, Other",393516
Feed,Cereals - Excluding Beer,"China, mainland",143443,2010,Food,Vegetables,451838
Feed,Starchy Roots,"China, mainland",69210,2011,Food,Cereals - Excluding Beer,208701
Feed,Maize and products,"China, mainland",125000,2011,Food,"Vegetables, Other",402338
Feed,Cereals - Excluding Beer,"China, mainland",166554,2011,Food,Vegetables,462696
Feed,Starchy Roots,"China, mainland",75446,2012,Food,Cereals - Excluding Beer,207802
Feed,Maize and products,"China, mainland",140000,2012,Food,"Vegetables, Other",419262
Feed,Cereals - Excluding Beer,"China, mainland",181259,2012,Food,Vegetables,479028
Feed,Starchy Roots,"China, mainland",78401,2013,Food,Cereals - Excluding Beer,209038
Feed,Maize and products,"China, mainland",150000,2013,Food,"Vegetables, Other",426850
Feed,Cereals - Excluding Beer,"China, mainland",193043,2013,Food,Vegetables,489299
